date,district,source,value
2018-07-16 08:45:13,Northern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 08:45:13,Southern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 09:15:13,Northern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 09:15:13,Southern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 09:45:13,Northern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 09:45:13,Southern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 10:15:13,Northern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 10:15:13,Southern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 10:45:13,Northern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 10:45:13,Southern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 11:15:13,Northern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 11:15:13,Southern Owens Valley,Tinemaha Elevation,3864.9
2018-07-16 11:45:13,Northern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 11:45:13,Southern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 12:15:13,Northern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 12:15:13,Southern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 12:45:13,Northern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 12:45:13,Southern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 13:15:13,Northern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 13:15:13,Southern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 13:45:13,Northern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 13:45:13,Southern Owens Valley,Tinemaha Elevation,3865.0
2018-07-16 14:15:12,Long Valley,East Portal Flow,36.0
2018-07-16 14:15:12,Southern District,Haiwee LAA #2 Current Flow,268.2
2018-07-16 14:15:12,Southern District,Haiwee LAA #1 Current Flow,276.8
2018-07-16 14:15:12,Southern District,LAA #1 Flow at Fairmont Reservoir,287.2
2018-07-16 14:15:12,Southern District,LAA #2 Flow at Fairmont Res.,279.2
2018-07-16 14:15:12,Southern District,Bouquet Reservoir Inflow,0.0
2018-07-16 14:15:12,Southern District,Bouquet Reservoir Outflow,0.5
2018-07-16 14:15:12,Southern District,LAA #1 at Soledad Flow,380.5
2018-07-16 14:15:12,Southern District,LAA #2 at Soledad Flow,148.8
2018-07-16 14:15:12,Southern Owens Valley,Indep. Ck. At Junction Flow,14.8
2018-07-16 14:15:12,Southern Owens Valley,LAA at Alabama Flow,421.0
2018-07-16 14:15:12,Southern Owens Valley,Cottonwood Ck. At LAA Flow,6.0
2018-07-16 14:15:12,Southern Owens Valley,LAA at Cottonwood Flow,516.0
2018-07-16 14:15:12,Southern Owens Valley,Haiwee LAA #1 Current Flow,276.8
2018-07-16 14:15:12,Southern Owens Valley,Haiwee LAA #2 Current Flow,268.2
2018-07-16 14:15:12,Southern Owens Valley,Reinhackel Flow,2.2
2018-07-16 14:15:12,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2018-07-16 14:15:12,Southern Owens Valley,Cartago Spillgate Outflow,8.7
2018-07-16 14:15:12,Mono Basin,Lee Vining Intake Above Flow,118.4
2018-07-16 14:15:12,Mono Basin,Lee Vining Intake Below Flow,58.8
2018-07-16 14:15:12,Mono Basin,Walker Ck. Above Conduit Flow,9.0
2018-07-16 14:15:12,Mono Basin,L.V. Conduit Below Intake Flow,53.0
2018-07-16 14:15:12,Mono Basin,Walker Ck. Under Conduit Flow,10.0
2018-07-16 14:15:12,Mono Basin,Parker Ck. Under Conduit Flow,31.0
2018-07-16 14:15:12,Mono Basin,Parker Ck. Above Conduit Flow,31.0
2018-07-16 14:15:12,Mono Basin,Grant Lk. Spill Flow,0.0
